fecha,turno,cabeza,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
14/09/2026,Vespertina,24,2024,1690,6810,4529,0260,4834,5627,7822,0501,9958,2319,2030,7786,4340,9687,7561,7578,8534,3938,7851
14/09/2026,Tarde,75,4975,4821,9501,9210,0496,9821,3931,6216,5244,2530,2679,9482,7148,7065,9153,2439,6520,5296,4029,8445
14/09/2026,Nocturna,55,6855,2895,3636,9371,4616,8523,5667,8033,0822,3874,0400,0540,8017,7073,4126,7625,5015,4556,3636,9088
12/09/2026,Vespertina,70,2470,5563,3555,8231,1793,6618,1585,8765,4747,5599,7011,2403,4039,4343,6158,8327,0229,4652,2717,1615
12/09/2026,Tarde,34,8734,6800,4621,7993,3976,3871,0417,0706,4774,5912,7152,7284,2810,1532,7548,6025,9753,8199,6982,1481
12/09/2026,Nocturna,21,2021,8420,6261,5908,8470,0124,3912,7512,8455,1678,8836,9736,7152,5538,6455,3706,0278,9281,5312,1462
11/09/2026,Vespertina,04,4904,3058,5982,4797,0537,0938,3728,7912,8936,4234,3492,0270,6141,2631,3926,0441,9996,5081,3235,4239
11/09/2026,Tarde,51,2951,9535,9601,4426,7201,9775,7955,9570,4630,5602,0142,7781,8289,0693,6660,7513,6897,7318,2393,6721
11/09/2026,Nocturna,15,5415,3656,3608,4479,2336,1281,9993,3048,9105,5923,5520,8355,6885,6936,2347,1119,5213,3498,0615,6763
10/09/2026,Vespertina,63,7463,1657,6338,9180,4175,5457,3264,8517,3484,1128,8188,9556,4018,8351,5424,8218,1569,0284,0737,9679
10/09/2026,Tarde,83,6983,2327,6832,5786,2491,3801,3883,3758,3573,7083,5650,3703,4134,9037,8241,0669,7727,9555,1233,0180
10/09/2026,Nocturna,41,6141,8219,9935,1115,9039,1134,2200,1939,2494,7271,5774,5336,9200,6787,1389,3053,6245,9324,5209,3555
09/09/2026,Vespertina,54,7554,7858,4777,8470,6828,9599,9145,1112,2675,7886,4458,0257,7536,3414,1887,5064,0703,1503,9688,6393
09/09/2026,Tarde,14,5714,4306,8792,2411,6945,0645,7487,0014,8741,5660,8609,5476,1470,2595,7799,5058,9306,3901,8831,7984
09/09/2026,Nocturna,13,8413,8686,2066,5591,9888,3227,8214,5091,0503,0546,0800,6593,0983,0232,5524,8146,8728,8202,2958,5379
08/09/2026,Vespertina,99,1099,5055,4638,0723,7533,2012,0616,0875,5698,3049,9894,7791,7816,7858,4589,7516,7894,0196,4896,4504
08/09/2026,Tarde,94,0294,9532,0488,0832,9487,0566,3821,3357,3259,1578,2986,7990,2103,2033,7551,3361,1583,6200,0652,1920
08/09/2026,Nocturna,71,1571,9069,1756,7874,2068,0806,3280,2618,2681,3085,2138,9087,8282,7616,7386,8562,6356,2822,0528,9246
07/09/2026,Vespertina,64,2164,3588,4368,7382,1305,8492,1403,3960,9034,9888,5189,4079,4606,8624,9497,6131,7087,8047,9753,5043
07/09/2026,Tarde,87,1387,1278,2246,1200,7044,5103,8642,4782,7757,5186,9548,6654,9854,0204,3760,8573,8136,6192,6997,3790
